tag	choice	outcome	substance	cohort	subjID
900110000199545	2	1	saccharin	A	13
900110000199396	1	1	alcohol	A	5
900110000199546	2	1	saccharin	A	14
900110000199545	2	1	saccharin	A	13
900110000199543	2	1	saccharin	A	11
900110000199545	1	-1	saccharin	A	13
900110000217733	2	1	alcohol	A	21
900110000199550	2	1	saccharin	A	18
900110000217739	2	1	saccharin	A	27
900110000199548	2	1	saccharin	A	16
900110000199546	1	1	saccharin	A	14
900110000199395	2	1	alcohol	A	4
900110000217731	2	1	alcohol	A	19
900110000199395	2	1	alcohol	A	4
900110000199396	1	1	alcohol	A	5
900110000199396	2	1	alcohol	A	5
900110000199392	1	1	alcohol	A	2
900110000199391	2	1	alcohol	A	1
900110000199545	2	-1	saccharin	A	13
900110000199399	2	1	alcohol	A	7
900110000217735	2	1	alcohol	A	23
900110000199549	2	1	saccharin	A	17
900110000199393	1	1	alcohol	A	3
900110000199396	2	1	alcohol	A	5
900110000217734	2	-1	alcohol	A	22
900110000217739	2	-1	saccharin	A	27
900110000217734	2	1	alcohol	A	22
900110000199392	2	1	alcohol	A	2
900110000217731	2	-1	alcohol	A	19
900110000199395	2	-1	alcohol	A	4
900110000199395	2	1	alcohol	A	4
900110000217733	2	1	alcohol	A	21
900110000199548	2	1	saccharin	A	16
900110000199541	2	1	saccharin	A	9
900110000217737	2	1	saccharin	A	25
900110000199549	1	-1	saccharin	A	17
900110000199549	2	-1	saccharin	A	17
900110000217739	2	1	saccharin	A	27
900110000199393	2	1	alcohol	A	3
900110000199548	1	-1	saccharin	A	16
900110000199549	1	-1	saccharin	A	17
900110000199550	2	1	saccharin	A	18
900110000199549	2	1	saccharin	A	17
900110000199541	2	-1	saccharin	A	9
900110000199395	2	1	alcohol	A	4
900110000217737	2	1	saccharin	A	25
900110000199391	2	1	alcohol	A	1
900110000217735	2	1	alcohol	A	23
900110000217739	2	1	saccharin	A	27
900110000199392	2	1	alcohol	A	2
900110000199400	2	-1	alcohol	A	8
900110000199541	2	1	saccharin	A	9
900110000199541	2	1	saccharin	A	9
900110000199548	1	-1	saccharin	A	16
900110000217740	2	1	saccharin	A	28
900110000199393	1	-1	alcohol	A	3
900110000199393	2	-1	alcohol	A	3
900110000199393	1	1	alcohol	A	3
900110000199391	2	1	alcohol	A	1
900110000217737	2	1	saccharin	A	25
900110000199392	2	1	alcohol	A	2
900110000199400	2	1	alcohol	A	8
900110000199392	2	1	alcohol	A	2
900110000217731	2	1	alcohol	A	19
900110000217740	2	1	saccharin	A	28
900110000199549	2	1	saccharin	A	17
900110000199400	2	1	alcohol	A	8
900110000199400	2	1	alcohol	A	8
900110000217740	2	1	saccharin	A	28
900110000199393	2	1	alcohol	A	3
900110000199542	2	1	saccharin	A	10
900110000199392	2	1	alcohol	A	2
900110000199391	2	1	alcohol	A	1
900110000199392	2	1	alcohol	A	2
900110000199546	2	1	saccharin	A	14
900110000199542	2	-1	saccharin	A	10
900110000199542	1	-1	saccharin	A	10
900110000217740	2	1	saccharin	A	28
900110000199397	2	1	alcohol	A	6
900110000217736	2	1	saccharin	A	24
900110000199547	2	1	saccharin	A	15
900110000217737	1	-1	saccharin	A	25
900110000217740	1	1	saccharin	A	28
900110000199549	1	-1	saccharin	A	17
900110000217737	2	-1	saccharin	A	25
900110000199549	1	-1	saccharin	A	17
900110000199549	2	1	saccharin	A	17
900110000217734	1	-1	alcohol	A	22
900110000217734	2	1	alcohol	A	22
900110000199546	1	1	saccharin	A	14
900110000217740	1	-1	saccharin	A	28
900110000199547	1	-1	saccharin	A	15
900110000199397	2	1	alcohol	A	6
900110000199549	1	-1	saccharin	A	17
900110000199397	1	1	alcohol	A	6
900110000217738	2	1	alcohol	A	26
900110000199549	2	1	saccharin	A	17
900110000217740	2	1	saccharin	A	28
900110000199548	2	1	saccharin	A	16
900110000217738	1	1	alcohol	A	26
900110000199549	1	-1	saccharin	A	17
900110000199542	2	1	saccharin	A	10
900110000199549	2	1	saccharin	A	17
900110000217737	2	1	saccharin	A	25
900110000199542	1	1	saccharin	A	10
900110000199392	2	1	alcohol	A	2
900110000217736	2	1	saccharin	A	24
900110000199547	2	1	saccharin	A	15
900110000199549	1	-1	saccharin	A	17
900110000199546	1	-1	saccharin	A	14
900110000199397	2	1	alcohol	A	6
900110000217735	2	1	alcohol	A	23
900110000217735	2	1	alcohol	A	23
900110000217740	2	1	saccharin	A	28
900110000199546	1	-1	saccharin	A	14
900110000199546	2	-1	saccharin	A	14
900110000199547	1	1	saccharin	A	15
900110000217737	1	-1	saccharin	A	25
900110000199541	2	1	saccharin	A	9
900110000199544	1	-1	saccharin	A	12
900110000217740	1	1	saccharin	A	28
900110000217737	2	1	saccharin	A	25
900110000199542	2	1	saccharin	A	10
900110000217737	1	-1	saccharin	A	25
900110000199547	1	1	saccharin	A	15
900110000199393	2	1	alcohol	A	3
900110000217740	1	1	saccharin	A	28
900110000199541	2	1	saccharin	A	9
900110000217737	2	-1	saccharin	A	25
900110000199544	1	1	saccharin	A	12
900110000199549	1	-1	saccharin	A	17
900110000199549	2	1	saccharin	A	17
900110000199547	2	1	saccharin	A	15
900110000199546	2	1	saccharin	A	14
900110000217740	1	-1	saccharin	A	28
900110000217740	2	1	saccharin	A	28
900110000199546	2	1	saccharin	A	14
900110000217735	2	1	alcohol	A	23
900110000217739	2	1	saccharin	A	27
900110000217739	2	1	saccharin	A	27
900110000199541	2	1	saccharin	A	9
900110000217737	2	1	saccharin	A	25
900110000199392	2	1	alcohol	A	2
900110000217739	2	1	saccharin	A	27
900110000199547	1	1	saccharin	A	15
900110000199541	2	1	saccharin	A	9
900110000199545	2	1	saccharin	A	13
900110000199393	1	-1	alcohol	A	3
900110000199545	1	-1	saccharin	A	13
900110000199549	2	1	saccharin	A	17
900110000217738	2	1	alcohol	A	26
900110000199547	1	-1	saccharin	A	15
900110000199396	2	-1	alcohol	A	5
900110000199396	2	1	alcohol	A	5
900110000199541	2	1	saccharin	A	9
900110000199546	1	-1	saccharin	A	14
900110000199400	2	1	alcohol	A	8
900110000217740	2	1	saccharin	A	28
900110000199546	2	1	saccharin	A	14
900110000199395	2	1	alcohol	A	4
900110000199400	2	1	alcohol	A	8
900110000217739	2	1	saccharin	A	27
900110000199546	2	1	saccharin	A	14
900110000199393	2	1	alcohol	A	3
900110000199545	2	1	saccharin	A	13
900110000217735	1	-1	alcohol	A	23
900110000199392	2	-1	alcohol	A	2
900110000217740	2	1	saccharin	A	28
900110000217735	2	1	alcohol	A	23
900110000199392	1	-1	alcohol	A	2
900110000199549	2	1	saccharin	A	17
900110000217735	2	1	alcohol	A	23
900110000199392	2	1	alcohol	A	2
900110000199549	2	1	saccharin	A	17
900110000199399	2	1	alcohol	A	7
900110000217731	2	-1	alcohol	A	19
900110000199396	1	-1	alcohol	A	5
900110000199396	2	1	alcohol	A	5
900110000199396	2	1	alcohol	A	5
900110000217731	2	1	alcohol	A	19
900110000217738	2	1	alcohol	A	26
900110000199545	2	1	saccharin	A	13
900110000199547	2	1	saccharin	A	15
900110000199541	2	1	saccharin	A	9
900110000217732	1	-1	alcohol	A	20
900110000217738	1	-1	alcohol	A	26
900110000217739	2	1	saccharin	A	27
900110000199547	1	-1	saccharin	A	15
900110000217734	2	1	alcohol	A	22
900110000199400	2	1	alcohol	A	8
900110000199542	2	1	saccharin	A	10
900110000217732	2	1	alcohol	A	20
900110000199543	2	1	saccharin	A	11
900110000199547	2	1	saccharin	A	15
900110000199546	1	-1	saccharin	A	14
900110000199546	2	1	saccharin	A	14
900110000199549	2	1	saccharin	A	17
900110000199392	2	1	alcohol	A	2
900110000199549	2	1	saccharin	A	17
900110000199399	2	1	alcohol	A	7
900110000199396	2	1	alcohol	A	5
900110000199399	2	1	alcohol	A	7
900110000199392	1	1	alcohol	A	2
900110000199396	2	1	alcohol	A	5
900110000199542	1	-1	saccharin	A	10
900110000199542	2	1	saccharin	A	10
900110000199395	2	1	alcohol	A	4
900110000199395	2	1	alcohol	A	4
900110000217731	2	1	alcohol	A	19
900110000199395	1	1	alcohol	A	4
900110000199400	2	1	alcohol	A	8
900110000217735	2	1	alcohol	A	23
900110000217735	2	1	alcohol	A	23
900110000199396	1	1	alcohol	A	5
900110000217740	1	-1	saccharin	A	28
900110000217734	1	1	alcohol	A	22
900110000217740	1	-1	saccharin	A	28
900110000217736	2	-1	saccharin	A	24
900110000217736	1	-1	saccharin	A	24
900110000217740	2	-1	saccharin	A	28
900110000217736	1	-1	saccharin	A	24
900110000217736	1	-1	saccharin	A	24
900110000217739	2	1	saccharin	A	27
900110000199392	2	1	alcohol	A	2
900110000217736	2	1	saccharin	A	24
900110000199393	2	1	alcohol	A	3
900110000199548	2	1	saccharin	A	16
900110000217736	1	-1	saccharin	A	24
900110000199396	2	1	alcohol	A	5
900110000217736	2	1	saccharin	A	24
900110000217740	2	1	saccharin	A	28
900110000217736	2	1	saccharin	A	24
900110000217740	2	1	saccharin	A	28
900110000199397	2	1	alcohol	A	6
900110000217738	2	-1	alcohol	A	26
900110000199400	2	1	alcohol	A	8
900110000199395	2	1	alcohol	A	4
900110000217738	2	1	alcohol	A	26
900110000199544	1	1	saccharin	A	12
900110000217734	2	1	alcohol	A	22
900110000199547	2	1	saccharin	A	15
900110000217736	1	-1	saccharin	A	24
900110000199542	1	1	saccharin	A	10
900110000217736	2	1	saccharin	A	24
900110000199392	2	1	alcohol	A	2
900110000199549	2	1	saccharin	A	17
900110000199393	1	-1	alcohol	A	3
900110000199400	2	1	alcohol	A	8
900110000199392	2	1	alcohol	A	2
900110000217739	1	-1	saccharin	A	27
900110000217739	1	-1	saccharin	A	27
900110000217735	2	1	alcohol	A	23
900110000199548	1	-1	saccharin	A	16
900110000217737	2	1	saccharin	A	25
900110000199397	1	-1	alcohol	A	6
900110000217735	2	1	alcohol	A	23
900110000217739	2	1	saccharin	A	27
900110000199397	2	1	alcohol	A	6
900110000199395	2	1	alcohol	A	4
900110000199396	2	1	alcohol	A	5
900110000217740	2	1	saccharin	A	28
900110000217734	2	1	alcohol	A	22
900110000199396	2	1	alcohol	A	5
900110000199547	2	1	saccharin	A	15
900110000199544	2	1	saccharin	A	12
900110000217738	2	1	alcohol	A	26
900110000217733	2	1	alcohol	A	21
900110000217732	2	1	alcohol	A	20
900110000199543	2	1	saccharin	A	11
900110000199397	2	1	alcohol	A	6
900110000217732	1	1	alcohol	A	20
900110000199549	1	-1	saccharin	A	17
900110000199397	2	1	alcohol	A	6
900110000217736	2	1	saccharin	A	24
900110000199392	2	1	alcohol	A	2
900110000217736	1	-1	saccharin	A	24
900110000199547	2	1	saccharin	A	15
900110000199548	2	1	saccharin	A	16
900110000199549	2	1	saccharin	A	17
900110000217740	2	1	saccharin	A	28
900110000199549	1	-1	saccharin	A	17
900110000217734	2	1	alcohol	A	22
900110000199393	1	-1	alcohol	A	3
900110000199393	2	1	alcohol	A	3
900110000217739	1	-1	saccharin	A	27
900110000199400	2	1	alcohol	A	8
900110000217736	2	1	saccharin	A	24
900110000217733	2	1	alcohol	A	21
900110000199400	1	1	alcohol	A	8
900110000217733	2	1	alcohol	A	21
900110000217739	2	1	saccharin	A	27
900110000199395	2	1	alcohol	A	4
900110000199392	2	1	alcohol	A	2
900110000199392	2	1	alcohol	A	2
900110000217740	2	1	saccharin	A	28
900110000217737	1	1	saccharin	A	25
900110000217735	2	1	alcohol	A	23
900110000199546	2	1	saccharin	A	14
900110000217735	2	-1	alcohol	A	23
900110000217735	2	1	alcohol	A	23
900110000217736	2	1	saccharin	A	24
900110000199395	2	1	alcohol	A	4
900110000199550	2	1	saccharin	A	18
900110000217736	2	-1	saccharin	A	24
900110000199391	2	1	alcohol	A	1
900110000199547	2	1	saccharin	A	15
900110000199395	2	1	alcohol	A	4
900110000199547	2	1	saccharin	A	15
900110000199397	2	1	alcohol	A	6
900110000217736	2	1	saccharin	A	24
900110000199400	2	1	alcohol	A	8
900110000217740	2	1	saccharin	A	28
900110000199396	1	-1	alcohol	A	5
900110000199397	2	1	alcohol	A	6
900110000217740	2	1	saccharin	A	28
900110000217733	2	-1	alcohol	A	21
900110000217733	2	-1	alcohol	A	21
900110000217733	2	1	alcohol	A	21
900110000199543	2	-1	saccharin	A	11
900110000199396	2	-1	alcohol	A	5
900110000217738	2	1	alcohol	A	26
900110000217739	2	-1	saccharin	A	27
900110000217734	2	1	alcohol	A	22
900110000217739	2	1	saccharin	A	27
900110000199396	1	-1	alcohol	A	5
900110000199549	2	1	saccharin	A	17
900110000199392	2	1	alcohol	A	2
900110000217734	1	-1	alcohol	A	22
900110000199392	2	1	alcohol	A	2
900110000199396	2	1	alcohol	A	5
900110000199392	1	1	alcohol	A	2
900110000199391	2	1	alcohol	A	1
900110000199545	2	1	saccharin	A	13
900110000199393	2	1	alcohol	A	3
900110000199545	1	-1	saccharin	A	13
900110000217733	2	1	alcohol	A	21
900110000199542	1	-1	saccharin	A	10
900110000199544	2	1	saccharin	A	12
900110000217736	2	1	saccharin	A	24
900110000199545	1	-1	saccharin	A	13
900110000199546	2	-1	saccharin	A	14
900110000199546	2	1	saccharin	A	14
900110000199542	2	1	saccharin	A	10
900110000199541	2	1	saccharin	A	9
900110000199549	2	1	saccharin	A	17
900110000217740	2	1	saccharin	A	28
900110000217735	2	1	alcohol	A	23
900110000199547	2	1	saccharin	A	15
900110000217738	2	1	alcohol	A	26
900110000199545	2	1	saccharin	A	13
900110000217737	2	1	saccharin	A	25
900110000199547	1	1	saccharin	A	15
900110000199395	2	1	alcohol	A	4
900110000217736	2	-1	saccharin	A	24
900110000217736	1	-1	saccharin	A	24
900110000217739	2	1	saccharin	A	27
900110000199392	1	-1	alcohol	A	2
900110000199395	2	1	alcohol	A	4
900110000199392	1	-1	alcohol	A	2
900110000217736	2	1	saccharin	A	24
900110000199542	2	1	saccharin	A	10
900110000199543	2	1	saccharin	A	11
900110000199396	2	1	alcohol	A	5
900110000217734	2	-1	alcohol	A	22
900110000217734	2	1	alcohol	A	22
900110000199541	2	1	saccharin	A	9
900110000199397	2	1	alcohol	A	6
900110000199542	1	1	saccharin	A	10
900110000199546	2	1	saccharin	A	14
900110000199547	2	1	saccharin	A	15
900110000199397	2	1	alcohol	A	6
900110000217735	2	1	alcohol	A	23
900110000199400	2	1	alcohol	A	8
900110000199397	1	1	alcohol	A	6
900110000217735	2	1	alcohol	A	23
900110000199543	2	1	saccharin	A	11
900110000199400	2	1	alcohol	A	8
900110000199549	1	-1	saccharin	A	17
900110000199545	2	1	saccharin	A	13
900110000217738	2	1	alcohol	A	26
900110000217738	1	-1	alcohol	A	26
900110000199392	2	1	alcohol	A	2
900110000199549	2	1	saccharin	A	17
900110000199391	2	1	alcohol	A	1
900110000217737	2	1	saccharin	A	25
900110000199399	2	1	alcohol	A	7
900110000199546	2	1	saccharin	A	14
900110000199395	2	1	alcohol	A	4
900110000199544	2	1	saccharin	A	12
900110000199392	2	1	alcohol	A	2
900110000199547	2	1	saccharin	A	15
900110000217740	2	1	saccharin	A	28
900110000217736	2	-1	saccharin	A	24
900110000199542	2	1	saccharin	A	10
900110000217736	2	1	saccharin	A	24
900110000199393	2	1	alcohol	A	3
900110000217731	2	1	alcohol	A	19
900110000199391	2	1	alcohol	A	1
900110000199396	2	1	alcohol	A	5
900110000199400	2	-1	alcohol	A	8
900110000199395	2	1	alcohol	A	4
900110000199397	2	1	alcohol	A	6
900110000199400	2	1	alcohol	A	8
900110000199546	2	1	saccharin	A	14
900110000199397	1	1	alcohol	A	6
900110000217731	1	-1	alcohol	A	19
900110000199399	2	1	alcohol	A	7
900110000199397	2	1	alcohol	A	6
900110000217735	2	-1	alcohol	A	23
900110000199543	2	1	saccharin	A	11
900110000217736	1	-1	saccharin	A	24
900110000217731	2	-1	alcohol	A	19
900110000199392	2	1	alcohol	A	2
900110000217734	2	1	alcohol	A	22
900110000199547	1	-1	saccharin	A	15
900110000199547	2	1	saccharin	A	15
900110000199395	2	1	alcohol	A	4
900110000217735	2	-1	alcohol	A	23
900110000217739	2	1	saccharin	A	27
900110000199545	1	-1	saccharin	A	13
900110000217736	1	-1	saccharin	A	24
900110000217736	2	-1	saccharin	A	24
900110000199544	1	1	saccharin	A	12
900110000217736	1	-1	saccharin	A	24
900110000217736	2	1	saccharin	A	24
900110000217731	2	1	alcohol	A	19
900110000217739	2	1	saccharin	A	27
900110000199549	2	1	saccharin	A	17
900110000199541	2	1	saccharin	A	9
900110000199547	1	-1	saccharin	A	15
900110000217740	2	1	saccharin	A	28
900110000199542	1	-1	saccharin	A	10
900110000199545	2	1	saccharin	A	13
900110000199397	2	1	alcohol	A	6
900110000199547	2	1	saccharin	A	15
900110000199400	2	1	alcohol	A	8
900110000217738	2	1	alcohol	A	26
900110000199544	1	-1	saccharin	A	12
900110000199399	2	1	alcohol	A	7
900110000199543	2	1	saccharin	A	11
900110000199549	1	1	saccharin	A	17
900110000199393	2	1	alcohol	A	3
900110000217737	2	1	saccharin	A	25
900110000199548	2	1	saccharin	A	16
900110000217734	2	1	alcohol	A	22
900110000217739	2	1	saccharin	A	27
900110000199392	2	1	alcohol	A	2
900110000199395	2	1	alcohol	A	4
900110000199395	2	1	alcohol	A	4
900110000199545	2	1	saccharin	A	13
900110000217736	2	1	saccharin	A	24
900110000217733	2	1	alcohol	A	21
900110000217735	2	1	alcohol	A	23
900110000217732	2	1	alcohol	A	20
900110000217735	2	1	alcohol	A	23
900110000199543	2	1	saccharin	A	11
900110000199392	2	-1	alcohol	A	2
900110000199399	2	1	alcohol	A	7
900110000199397	2	1	alcohol	A	6
900110000199391	2	1	alcohol	A	1
900110000217736	2	1	saccharin	A	24
900110000217732	2	1	alcohol	A	20
900110000199543	2	1	saccharin	A	11
900110000199392	2	1	alcohol	A	2
900110000199548	2	1	saccharin	A	16
900110000217738	2	-1	alcohol	A	26
900110000217738	2	1	alcohol	A	26
900110000217733	2	1	alcohol	A	21
900110000217738	2	1	alcohol	A	26
900110000217738	2	1	alcohol	A	26
900110000217731	1	-1	alcohol	A	19
900110000217731	2	1	alcohol	A	19
900110000199393	2	1	alcohol	A	3
900110000199545	2	1	saccharin	A	13
900110000199545	2	1	saccharin	A	13
900110000199545	2	1	saccharin	A	13
900110000217732	2	1	alcohol	A	20
900110000217736	2	1	saccharin	A	24
900110000217734	2	1	alcohol	A	22
900110000199543	2	-1	saccharin	A	11
900110000217737	2	1	saccharin	A	25
900110000217738	2	1	alcohol	A	26
900110000217739	2	1	saccharin	A	27
900110000199543	2	1	saccharin	A	11
900110000199543	2	1	saccharin	A	11
900110000199546	2	1	saccharin	A	14
900110000199399	2	1	alcohol	A	7
900110000217732	2	1	alcohol	A	20
900110000217732	2	1	alcohol	A	20
900110000199544	2	1	saccharin	A	12
900110000217734	2	1	alcohol	A	22
900110000199397	2	1	alcohol	A	6
900110000217731	1	-1	alcohol	A	19
900110000199397	1	-1	alcohol	A	6
900110000199397	2	1	alcohol	A	6
900110000199397	2	1	alcohol	A	6
900110000199392	1	1	alcohol	A	2
900110000199399	2	1	alcohol	A	7
900110000199399	2	1	alcohol	A	7
900110000217733	1	-1	alcohol	A	21
900110000199550	2	-1	saccharin	A	18
900110000199397	1	-1	alcohol	A	6
900110000217737	1	-1	saccharin	A	25
900110000199393	2	1	alcohol	A	3
900110000199543	2	1	saccharin	A	11
900110000217733	1	-1	alcohol	A	21
900110000217737	2	1	saccharin	A	25
900110000199392	2	1	alcohol	A	2
900110000217737	2	1	saccharin	A	25
900110000199546	1	-1	saccharin	A	14
900110000199546	2	1	saccharin	A	14
900110000199546	1	-1	saccharin	A	14
900110000199548	2	1	saccharin	A	16
900110000199548	1	-1	saccharin	A	16
900110000217737	1	1	saccharin	A	25
900110000199550	1	-1	saccharin	A	18
900110000199393	2	1	alcohol	A	3
900110000199546	2	1	saccharin	A	14
900110000199550	2	1	saccharin	A	18
900110000199550	2	1	saccharin	A	18
900110000217736	1	1	saccharin	A	24
900110000199546	2	1	saccharin	A	14
900110000217736	2	1	saccharin	A	24
900110000217738	2	1	alcohol	A	26
900110000199545	2	1	saccharin	A	13
900110000199545	2	1	saccharin	A	13
900110000199392	2	1	alcohol	A	2
900110000199543	2	1	saccharin	A	11
900110000199541	2	1	saccharin	A	9
900110000199544	2	1	saccharin	A	12
900110000199541	2	1	saccharin	A	9
900110000217737	2	1	saccharin	A	25
900110000199549	1	-1	saccharin	A	17
900110000199396	2	1	alcohol	A	5
900110000217738	1	-1	alcohol	A	26
900110000217733	1	-1	alcohol	A	21
900110000199392	1	1	alcohol	A	2
900110000199550	2	1	saccharin	A	18
900110000199393	1	1	alcohol	A	3
900110000217733	2	1	alcohol	A	21
900110000217736	1	1	saccharin	A	24
900110000217736	1	-1	saccharin	A	24
900110000217740	1	-1	saccharin	A	28
900110000199550	1	-1	saccharin	A	18
900110000217736	1	1	saccharin	A	24
900110000199545	1	1	saccharin	A	13
900110000199549	1	1	saccharin	A	17
900110000199547	1	-1	saccharin	A	15
900110000217732	1	-1	alcohol	A	20
900110000199393	1	1	alcohol	A	3
900110000199397	1	-1	alcohol	A	6
900110000199393	2	1	alcohol	A	3
900110000199548	1	-1	saccharin	A	16
900110000199392	2	-1	alcohol	A	2
900110000217738	2	1	alcohol	A	26
900110000199546	1	-1	saccharin	A	14
900110000199392	2	1	alcohol	A	2
900110000199545	1	-1	saccharin	A	13
900110000199396	2	1	alcohol	A	5
900110000217734	2	-1	alcohol	A	22
900110000199397	2	1	alcohol	A	6
900110000217738	2	1	alcohol	A	26
900110000199393	2	1	alcohol	A	3
900110000217731	2	1	alcohol	A	19
900110000199399	2	1	alcohol	A	7
900110000199550	2	1	saccharin	A	18
900110000199550	2	1	saccharin	A	18
900110000199397	1	1	alcohol	A	6
900110000199550	2	1	saccharin	A	18
900110000199544	2	1	saccharin	A	12
900110000199548	2	1	saccharin	A	16
900110000199550	2	1	saccharin	A	18
900110000199549	2	1	saccharin	A	17
900110000199549	1	-1	saccharin	A	17
900110000217736	2	1	saccharin	A	24
900110000199550	1	1	saccharin	A	18
900110000217737	2	1	saccharin	A	25
900110000199549	2	1	saccharin	A	17
900110000199399	2	1	alcohol	A	7
900110000199547	2	1	saccharin	A	15
900110000199550	2	1	saccharin	A	18
900110000217739	2	1	saccharin	A	27
900110000217732	1	-1	alcohol	A	20
900110000217732	2	1	alcohol	A	20
900110000217738	2	-1	alcohol	A	26
900110000217738	1	-1	alcohol	A	26
900110000217738	1	-1	alcohol	A	26
900110000217732	1	-1	alcohol	A	20
900110000217738	2	-1	alcohol	A	26
900110000217738	2	1	alcohol	A	26
900110000199550	2	1	saccharin	A	18
900110000217739	2	-1	saccharin	A	27
900110000217731	2	1	alcohol	A	19
900110000217740	2	1	saccharin	A	28
900110000217732	2	1	alcohol	A	20
900110000217738	2	-1	alcohol	A	26
900110000199392	2	1	alcohol	A	2
900110000217734	2	1	alcohol	A	22
900110000217731	2	1	alcohol	A	19
900110000217740	2	1	saccharin	A	28
900110000199548	2	1	saccharin	A	16
900110000199541	2	1	saccharin	A	9
900110000217737	2	1	saccharin	A	25
900110000199541	2	1	saccharin	A	9
900110000199546	2	1	saccharin	A	14
900110000199546	2	1	saccharin	A	14
900110000199546	1	-1	saccharin	A	14
900110000199546	1	-1	saccharin	A	14
900110000199546	1	-1	saccharin	A	14
900110000199546	2	1	saccharin	A	14
900110000199396	2	-1	alcohol	A	5
900110000199546	2	-1	saccharin	A	14
900110000199545	2	1	saccharin	A	13
900110000199397	1	-1	alcohol	A	6
900110000199397	2	1	alcohol	A	6
900110000199549	2	1	saccharin	A	17
900110000199548	2	1	saccharin	A	16
900110000199546	2	1	saccharin	A	14
900110000199543	2	1	saccharin	A	11
900110000199546	2	1	saccharin	A	14
900110000199549	1	1	saccharin	A	17
900110000199544	2	1	saccharin	A	12
900110000199549	2	1	saccharin	A	17
900110000199549	2	1	saccharin	A	17
900110000199548	2	1	saccharin	A	16
900110000199543	2	1	saccharin	A	11
900110000199544	2	1	saccharin	A	12
900110000199544	1	1	saccharin	A	12
900110000199550	2	-1	saccharin	A	18
900110000199550	1	1	saccharin	A	18
900110000199541	2	1	saccharin	A	9
900110000217739	2	1	saccharin	A	27
900110000217731	2	1	alcohol	A	19
900110000217739	2	1	saccharin	A	27
900110000217738	2	1	alcohol	A	26
900110000217738	1	1	alcohol	A	26
900110000199547	2	1	saccharin	A	15
900110000199547	1	-1	saccharin	A	15
900110000199399	2	1	alcohol	A	7
900110000217736	1	-1	saccharin	A	24
900110000217738	2	1	alcohol	A	26
900110000217736	2	1	saccharin	A	24
900110000217736	2	1	saccharin	A	24
900110000199399	2	-1	alcohol	A	7
900110000199541	2	1	saccharin	A	9
900110000199544	1	-1	saccharin	A	12
900110000217736	1	-1	saccharin	A	24
900110000217736	2	-1	saccharin	A	24
900110000199392	2	1	alcohol	A	2
900110000217736	1	-1	saccharin	A	24
900110000199392	2	1	alcohol	A	2
900110000217736	2	1	saccharin	A	24
900110000199547	2	1	saccharin	A	15
900110000199548	2	-1	saccharin	A	16
900110000199545	2	1	saccharin	A	13
900110000199546	2	1	saccharin	A	14
900110000217735	2	1	alcohol	A	23
900110000217740	2	1	saccharin	A	28
900110000199548	2	1	saccharin	A	16
900110000199541	2	1	saccharin	A	9
900110000217740	2	1	saccharin	A	28
900110000199546	2	1	saccharin	A	14
900110000217732	2	1	alcohol	A	20
900110000199395	1	-1	alcohol	A	4
900110000217735	2	1	alcohol	A	23
900110000217735	1	-1	alcohol	A	23
900110000199546	2	1	saccharin	A	14
900110000217735	2	1	alcohol	A	23
900110000199542	2	1	saccharin	A	10
900110000199545	2	1	saccharin	A	13
900110000199395	2	1	alcohol	A	4
900110000199546	1	1	saccharin	A	14
900110000199400	2	1	alcohol	A	8
900110000217740	2	1	saccharin	A	28
900110000199545	1	-1	saccharin	A	13
900110000217734	2	1	alcohol	A	22
900110000199549	1	1	saccharin	A	17
900110000199548	1	1	saccharin	A	16
900110000217734	2	1	alcohol	A	22
900110000217733	2	1	alcohol	A	21
900110000199549	2	1	saccharin	A	17
900110000199546	2	1	saccharin	A	14
900110000217733	2	1	alcohol	A	21
900110000199544	1	-1	saccharin	A	12
900110000217740	2	1	saccharin	A	28
900110000199547	2	1	saccharin	A	15
900110000199397	1	-1	alcohol	A	6
900110000199395	2	1	alcohol	A	4
900110000199397	2	1	alcohol	A	6
900110000199396	2	1	alcohol	A	5
900110000199395	2	1	alcohol	A	4
900110000217737	2	1	saccharin	A	25
900110000199547	1	-1	saccharin	A	15
900110000199548	2	1	saccharin	A	16
900110000199544	2	1	saccharin	A	12
900110000199392	2	1	alcohol	A	2
900110000199541	2	1	saccharin	A	9
900110000199392	2	1	alcohol	A	2
900110000199545	2	1	saccharin	A	13
900110000199549	1	1	saccharin	A	17
900110000217737	1	1	saccharin	A	25
900110000217736	2	1	saccharin	A	24
900110000217733	2	1	alcohol	A	21
900110000199393	2	1	alcohol	A	3
900110000217737	2	-1	saccharin	A	25
900110000199400	2	1	alcohol	A	8
900110000199547	1	-1	saccharin	A	15
900110000217734	2	1	alcohol	A	22
900110000199397	2	1	alcohol	A	6
900110000217737	2	1	saccharin	A	25
900110000217740	2	1	saccharin	A	28
900110000217735	2	-1	alcohol	A	23
900110000199549	1	-1	saccharin	A	17
900110000199549	2	1	saccharin	A	17
900110000199547	2	1	saccharin	A	15
900110000217735	2	-1	alcohol	A	23
900110000199541	2	1	saccharin	A	9
900110000199542	1	-1	saccharin	A	10
900110000199542	2	1	saccharin	A	10
900110000217735	2	1	alcohol	A	23
900110000217739	2	1	saccharin	A	27
900110000217735	2	-1	alcohol	A	23
900110000199395	2	1	alcohol	A	4
900110000217737	2	1	saccharin	A	25
900110000217735	2	-1	alcohol	A	23
900110000199548	2	1	saccharin	A	16
